branch,maven_release,class,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM
v3.0,3.0-SNAPSHOT,org.tinylog.configuration.Resolver,3,1,0,0,3,3,4,3
v2.0,2.0.1,org.tinylog.configuration.ServiceLoader,7,1,0,2,54,7,3,3
v2.8,2.8.0-M1,org.tinylog.configuration.ServiceLoader,9,1,0,3,60,22,5,5
v3.0,3.0-SNAPSHOT,org.tinylog.configuration.ServiceLoader,9,1,0,4,61,22,4,5
v2.0,2.0.1,org.tinylog.configuration.SystemPropertyResolver,5,1,0,1,7,10,1,3
v2.8,2.8.0-M1,org.tinylog.configuration.SystemPropertyResolver,5,1,0,1,7,10,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.configuration.SystemPropertyResolver,5,1,0,1,7,10,1,3
v2.8,2.8.0-M1,org.tinylog.configuration.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.configuration.package-info,0,1,0,0,0,0,0,0
v2.8,2.8.0-M1,org.tinylog.converters.FileConverter,5,1,0,0,5,10,3,5
v3.0,3.0-SNAPSHOT,org.tinylog.converters.FileConverter,5,1,0,0,5,10,3,5
v2.8,2.8.0-M1,org.tinylog.converters.GzipEncoder,2,1,0,2,21,0,1,1
v3.0,3.0-SNAPSHOT,org.tinylog.converters.GzipEncoder,2,1,0,3,19,0,1,1
v2.8,2.8.0-M1,org.tinylog.converters.GzipFileConverter,7,1,0,3,21,11,0,6
v3.0,3.0-SNAPSHOT,org.tinylog.converters.GzipFileConverter,7,1,0,4,18,11,0,6
v2.8,2.8.0-M1,org.tinylog.converters.NamedDaemonThreadFactory,2,1,0,0,7,0,1,1
v3.0,3.0-SNAPSHOT,org.tinylog.converters.NamedDaemonThreadFactory,2,1,0,0,7,0,1,1
v2.8,2.8.0-M1,org.tinylog.converters.NopFileConverter,6,1,0,1,7,15,1,6
v3.0,3.0-SNAPSHOT,org.tinylog.converters.NopFileConverter,6,1,0,1,7,15,0,6
v2.8,2.8.0-M1,org.tinylog.converters.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.converters.package-info,0,1,0,0,0,0,0,0
v2.0,2.0.1,org.tinylog.core.ConfigurationParser,10,1,0,6,57,45,3,7
v2.8,2.8.0-M1,org.tinylog.core.ConfigurationParser,7,1,0,3,36,21,3,6
v3.0,3.0-SNAPSHOT,org.tinylog.core.ConfigurationParser,7,1,0,4,34,21,3,6
v2.0,2.0.1,org.tinylog.core.LogEntry,12,1,0,2,13,44,33,12
v2.8,2.8.0-M1,org.tinylog.core.LogEntry,12,1,0,2,13,44,43,12
v3.0,3.0-SNAPSHOT,org.tinylog.core.LogEntry,12,1,0,2,13,44,43,12
v2.0,2.0.1,org.tinylog.core.LogEntryValue,4,2,0,1,7,4,19,2
v2.8,2.8.0-M1,org.tinylog.core.LogEntryValue,4,2,0,1,7,4,22,2
v3.0,3.0-SNAPSHOT,org.tinylog.core.LogEntryValue,4,2,0,0,7,4,21,2
v2.0,2.0.1,org.tinylog.core.TinylogContextProvider,6,1,0,3,18,0,1,6
v2.8,2.8.0-M1,org.tinylog.core.TinylogContextProvider,6,1,0,3,18,0,1,6
v3.0,3.0-SNAPSHOT,org.tinylog.core.TinylogContextProvider,6,1,0,2,18,0,1,6
v2.0,2.0.1,org.tinylog.core.TinylogContextProvider$1,0,1,0,0,0,0,2,0
v2.8,2.8.0-M1,org.tinylog.core.TinylogContextProvider$1,0,1,0,0,0,0,2,0
v2.0,2.0.1,org.tinylog.core.TinylogContextProvider$InheritableEmptyMapThreadLocal,4,3,0,1,5,6,1,0
v2.8,2.8.0-M1,org.tinylog.core.TinylogContextProvider$InheritableEmptyMapThreadLocal,4,3,0,1,5,6,1,0
v3.0,3.0-SNAPSHOT,org.tinylog.core.TinylogContextProvider$InheritableEmptyMapThreadLocal,4,3,0,0,5,6,1,0
v2.8,2.8.0-M1,org.tinylog.core.TinylogLoggingConfiguration,9,1,0,13,67,36,1,8
v3.0,3.0-SNAPSHOT,org.tinylog.core.TinylogLoggingConfiguration,9,1,0,13,67,36,1,8
v2.0,2.0.1,org.tinylog.core.TinylogLoggingProvider,17,1,0,15,83,70,1,8
v2.8,2.8.0-M1,org.tinylog.core.TinylogLoggingProvider,17,1,0,14,69,22,1,12
v3.0,3.0-SNAPSHOT,org.tinylog.core.TinylogLoggingProvider,17,1,0,15,67,22,1,12
v2.0,2.0.1,org.tinylog.core.TinylogLoggingProvider$1,2,2,0,3,5,0,1,1
v2.8,2.8.0-M1,org.tinylog.core.TinylogLoggingProvider$1,2,2,0,3,5,0,1,1
v3.0,3.0-SNAPSHOT,org.tinylog.core.TinylogLoggingProvider$1,2,2,0,3,5,0,1,1
v2.0,2.0.1,org.tinylog.core.WritingThread,8,2,0,5,39,14,1,1
v2.8,2.8.0-M1,org.tinylog.core.WritingThread,8,2,0,5,39,14,2,3
v3.0,3.0-SNAPSHOT,org.tinylog.core.WritingThread,8,2,0,6,37,14,2,3
v2.0,2.0.1,org.tinylog.core.WritingThread$Task,5,1,0,2,6,4,1,0
v2.8,2.8.0-M1,org.tinylog.core.WritingThread$Task,5,1,0,2,6,4,1,0
v3.0,3.0-SNAPSHOT,org.tinylog.core.WritingThread$Task,5,1,0,2,6,4,1,0
v2.8,2.8.0-M1,org.tinylog.core.package-info,0,1,0,0,0,0,0,0
v3.0,3.0-SNAPSHOT,org.tinylog.core.package-info,0,1,0,0,0,0,0,0
v2.8,2.8.0-M1,org.tinylog.format.AbstractMessageFormatter,3,1,4,2,5,3,4,0
v3.0,3.0-SNAPSHOT,org.tinylog.format.AbstractMessageFormatter,3,1,4,2,5,3,4,0
v2.8,2.8.0-M1,org.tinylog.format.AdvancedMessageFormatter,5,0,0,4,32,6,5,2
v3.0,3.0-SNAPSHOT,org.tinylog.format.AdvancedMessageFormatter,5,0,0,5,32,6,2,2
