branch,maven_release,class,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,NPM
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.TimestampToken,6,1,0,4,14,9,1,3
v2.0,2.0.1,org.tinylog.pattern.Token,3,1,0,1,3,3,25,3
v2.8,2.8.0-M1,org.tinylog.pattern.Token,3,1,0,1,3,3,30,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.Token,3,1,0,1,3,3,30,3
v2.8,2.8.0-M1,org.tinylog.pattern.UptimeToken,8,1,0,8,38,18,1,3
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.UptimeToken,8,1,0,8,38,18,1,3
v2.8,2.8.0-M1,org.tinylog.pattern.UptimeToken$Segment,1,1,0,0,1,0,3,1
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.UptimeToken$Segment,1,1,0,0,1,0,3,1
v2.8,2.8.0-M1,org.tinylog.pattern.UptimeToken$StringSegment,2,1,0,1,4,0,1,1
v3.0,3.0-SNAPSHOT,org.tinylog.pattern.UptimeToken$StringSegment,2,1,0,1,4,0,1,1
v2.8,2.8.0-M1,org.tinylog.pattern.UptimeToken$TimeSegment,4,1,0,1,9,0,1,1
